shot,club,block,model,window,center_source,tdm_residual,speed_source,snapshot_half,max_range_m,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
90,5Iron,A,four4,hann,peak,none,ops,second,4.7,9,3,11.883412894593535,12.959999999999992,-1.0765871054064569,-0.9125000336672819,-0.9116907150732366,0.0008093185940453163,0.5584355578361513,0.2786031496278998,54.04704641161587,50.56141437408992,0.1524,10.404948650719305
91,5Iron,A,direct1,hann,peak,none,ops,second,4.7,11,4,7.06027293198607,9.892999999999994,-2.8327270680139236,-0.6790737710389008,-0.6632900276342559,0.015783743404644834,nan,nan,47.20734574910368,46.19584787565755,0.1524,10.404948650719305
91,5Iron,A,two2,hann,peak,none,ops,second,4.7,11,4,8.74097190632863,9.892999999999994,-1.1520280936713636,-0.7595862373177678,-0.7557113526938015,0.003874884623966235,nan,0.15146561086009216,47.20734574910368,46.19584787565755,0.1524,10.404948650719305
91,5Iron,A,four4,hann,peak,none,ops,second,4.7,11,4,9.580527384602116,9.892999999999994,-0.3124726153978781,-0.9353721699931428,-0.9352926773446147,7.94926485280234e-05,0.34596123682355195,0.3461156212750565,47.20734574910368,46.19584787565755,0.1524,10.404948650719305
92,5Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,6.329066172677208,10.917999999999983,-4.5889338273227755,-1.0695767179699123,-0.9209028113058729,0.14867390666403935,nan,nan,48.10142426707913,46.135109857309985,0.1524,10.404948650719305
92,5Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,7.689013863756963,10.917999999999983,-3.2289861362430203,-1.092405203092383,-1.0406081217821277,0.05179708131025529,nan,0.1493755522510825,48.10142426707913,46.135109857309985,0.1524,10.404948650719305
92,5Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,7.071606876716886,10.917999999999983,-3.8463931232830975,-1.209470303281992,-1.1952955740731674,0.014174729208824566,0.3018449623441434,0.21651114803867938,48.10142426707913,46.135109857309985,0.1524,10.404948650719305
93,5Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,-3.7543785573735655,1.5239999999999743,-5.278378557373539,-1.971381380305757,-1.530226736597804,0.441154643707953,nan,nan,38.89241553193201,38.26469086258259,0.1524,10.404948650719305
93,5Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,-3.463707956487608,1.5239999999999743,-4.987707956487583,-2.101690383467504,-2.027520602202839,0.07416978126466489,nan,0.6415755032512974,38.89241553193201,38.26469086258259,0.1524,10.404948650719305
93,5Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,-3.935660825328668,1.5239999999999743,-5.459660825328642,-2.1735688104507713,-2.0864403056345613,0.08712850481621004,1.0694564977874075,0.9627915216253647,38.89241553193201,38.26469086258259,0.1524,10.404948650719305
94,5Iron,A,direct1,hann,peak,none,ops,second,4.7,10,3,9.75245742863477,13.115999999999982,-3.363542571365212,-0.8283403840948828,-0.7823081011418411,0.046032282953041626,nan,nan,57.93628796480906,56.37819553311256,0.1524,10.404948650719305
94,5Iron,A,two2,hann,peak,none,ops,second,4.7,10,3,8.88285854311205,13.115999999999982,-4.233141456887932,-0.9428148795508452,-0.880288940594309,0.06252593895653624,nan,0.30740427642583334,57.93628796480906,56.37819553311256,0.1524,10.404948650719305
94,5Iron,A,four4,hann,peak,none,ops,second,4.7,10,3,7.972991281471405,13.115999999999982,-5.143008718528577,-1.195263490397446,-1.1671008975776502,0.028162592819795718,0.40498389375305843,0.24425062602334596,57.93628796480906,56.37819553311256,0.1524,10.404948650719305
95,5Iron,A,direct1,hann,peak,none,ops,second,4.7,12,3,14.54198671002872,14.271999999999982,0.2699867100287374,-0.8858148194477891,-0.8854361510615184,0.000378668386270653,nan,nan,51.2306990799932,48.76380628406203,0.1524,10.404948650719305
95,5Iron,A,two2,hann,peak,none,ops,second,4.7,12,3,14.079914545483783,14.271999999999982,-0.1920854545161994,-0.947260141844386,-0.9471154446306213,0.00014469721376475508,nan,0.15958226427391717,51.2306990799932,48.76380628406203,0.1524,10.404948650719305
95,5Iron,A,four4,hann,peak,none,ops,second,4.7,12,3,13.166997218989966,14.271999999999982,-1.1050027810100165,-1.1289544520957489,-1.1276179847566918,0.0013364673390570125,0.30313293301061317,0.1715628587178582,51.2306990799932,48.76380628406203,0.1524,10.404948650719305
96,5Iron,A,direct1,hann,peak,none,ops,second,4.7,8,2,12.021200761527773,14.196999999999997,-2.1757992384722247,-0.9194128077869523,-0.8812236800581235,0.038189127728828876,nan,nan,57.93628796480906,56.177827827840886,0.1524,10.404948650719305
