shot,club,stage,mode,n_snapshots,launch_angle_deg,trackman_launch_deg,launch_error_deg,sampled_truth_angle_deg,model_bias_deg,height_error_cm,truth_direct_deg,direct_image_sep_deg,truth_explained,best_explained,truth_corrupt_zone_pct,bartlett_gate_pct
70,9Iron,middle3,truth,31,17.669116509929285,22.12999999999998,-4.460883490070696,21.54108548943972,-3.8719689795104344,-8.321959248662347,-2.43766776636388,21.874164671275462,0.8326775340901325,0.87232829027775,54.83870967741935,16.129032258064516
70,9Iron,last3,local,23,16.771266397114495,22.12999999999998,-5.358733602885486,21.426389014758175,-4.655122617643681,-11.708634387463485,-1.2301245348267102,23.761854973002876,0.8305247945395094,0.8758486452911814,95.65217391304348,26.08695652173913
70,9Iron,last3,truth,23,17.401926889725573,22.12999999999998,-4.7280731102744085,21.426383759959823,-4.02445687023425,-10.708634387463484,-1.2301245348267102,23.761854973002876,0.8394588559618513,0.8770836002239659,95.65217391304348,30.434782608695656
71,9Iron,first3,local,36,18.449600289842298,21.279999999999987,-2.830399710157689,20.786785437432655,-2.3371851475903576,-0.9717309874458929,-4.283375690757094,18.82715335135604,0.8064396553406113,0.8436664637857575,0.0,16.666666666666664
71,9Iron,first3,truth,36,18.30379192691614,21.279999999999987,-2.9762080730838463,20.786763656148512,-2.4829717292323714,-1.6634148900714851,-4.283375690757094,18.82715335135604,0.8090247810350846,0.8438132981362929,0.0,16.666666666666664
71,9Iron,middle3,local,27,17.931160630994803,21.279999999999987,-3.3488393690051836,20.7117840053154,-2.780623374320598,-5.857381634217202,-2.8138899731946174,21.105870792254514,0.821468526630031,0.8883351018915117,18.51851851851852,25.925925925925924
71,9Iron,middle3,truth,27,18.001427247197626,21.279999999999987,-3.2785727528023614,20.71154025621932,-2.7101130090216934,-5.464696174490169,-2.8138899731946174,21.105870792254514,0.8156022282600174,0.8882372663553394,18.51851851851852,29.629629629629626
71,9Iron,last3,local,27,17.931160630994803,21.279999999999987,-3.3488393690051836,20.7117840053154,-2.780623374320598,-5.857381634217202,-2.8138899731946174,21.105870792254514,0.821468526630031,0.8883351018915117,18.51851851851852,25.925925925925924
71,9Iron,last3,truth,27,18.001427247197626,21.279999999999987,-3.2785727528023614,20.71154025621932,-2.7101130090216934,-5.464696174490169,-2.8138899731946174,21.105870792254514,0.8156022282600174,0.8882372663553394,18.51851851851852,29.629629629629626
72,7Iron,first3,local,47,0.2463811789462016,1.6789999999999963,-1.4326188210537947,1.4098655476532944,-1.1634843687070928,-5.635280770134519,-12.498757402693412,2.8850940910706844,0.8370658572850947,0.8383367191404528,0.0,0.0
72,7Iron,first3,truth,47,0.09782126213660586,1.6789999999999963,-1.5811787378633904,1.410110317898029,-1.312289055761423,-5.665311797630081,-12.498757402693412,2.8850940910706844,0.8409345362331322,0.8416638478988685,0.0,0.0
72,7Iron,middle3,local,28,-0.36448608027143176,1.6789999999999963,-2.043486080271428,1.2768767184008512,-1.641362798672283,-7.647311969744372,-12.230464629211768,2.8406022027836326,0.8472614779882482,0.8488438666819094,0.0,0.0
72,7Iron,middle3,truth,28,-0.39044764413628763,1.6789999999999963,-2.069447644136284,1.2773652143820302,-1.6678128585183178,-7.632266391844941,-12.230464629211768,2.8406022027836326,0.8494118889324871,0.8510213393839734,0.0,0.0
72,7Iron,last3,local,22,-0.7944930653742713,1.6789999999999963,-2.4734930653742677,1.1745892523453052,-1.9690823177195766,-9.006386843218692,-11.58605569550038,2.61369217856513,0.8367155623229853,0.8384582515746619,0.0,0.0
72,7Iron,last3,truth,22,-0.7728150028200222,1.6789999999999963,-2.4518150028200187,1.1747263421554295,-1.9475413449754517,-9.000383400552002,-11.58605569550038,2.61369217856513,0.8378560543359417,0.8396257362817976,0.0,0.0
73,7Iron,first3,local,37,11.724824260971731,18.677999999999987,-6.953175739028255,18.302141678678513,-6.577317417706782,-10.463965863427577,-5.301945783392352,16.770675403450685,0.7963307502474279,0.8775186080006644,0.0,0.0
73,7Iron,first3,truth,37,12.219259913891051,18.677999999999987,-6.458740086108936,18.301908394709102,-6.082648480818051,-10.180311940474828,-5.301945783392352,16.770675403450685,0.798637735804944,0.8784024441637618,0.0,0.0
73,7Iron,middle3,local,31,13.277105146010634,18.677999999999987,-5.400894853989353,18.24432219520758,-4.967217049196947,-10.463965863427577,-4.030722533529413,18.67808031268587,0.8237972087416088,0.9020996151329186,0.0,3.225806451612903
73,7Iron,middle3,truth,31,13.746093742885323,18.677999999999987,-4.9319062571146635,18.244562112900425,-4.498468370015102,-9.463965863427582,-4.030722533529413,18.67808031268587,0.8308354873098511,0.9021356793659646,0.0,3.225806451612903
73,7Iron,last3,local,31,13.277105146010634,18.677999999999987,-5.400894853989353,18.24432219520758,-4.967217049196947,-10.463965863427577,-4.030722533529413,18.67808031268587,0.8237972087416088,0.9020996151329186,0.0,3.225806451612903
73,7Iron,last3,truth,31,13.746093742885323,18.677999999999987,-4.9319062571146635,18.244562112900425,-4.498468370015102,-9.463965863427582,-4.030722533529413,18.67808031268587,0.8308354873098511,0.9021356793659646,0.0,3.225806451612903
74,7Iron,first3,local,37,14.42670969745714,16.30699999999998,-1.880290302542841,16.067128776337352,-1.6404190788802122,-4.137742414234985,-6.031309706417846,15.197226358539687,0.798425861931813,0.8292701920212119,0.0,0.0
74,7Iron,first3,truth,37,14.740374273085525,16.30699999999998,-1.566625726914456,16.066876636945253,-1.3265023638597278,-3.764432678907598,-6.031309706417846,15.197226358539687,0.7968853370156458,0.8276293230581894,0.0,0.0
74,7Iron,middle3,local,37,14.42670969745714,16.30699999999998,-1.880290302542841,16.067128776337352,-1.6404190788802122,-4.137742414234985,-6.031309706417846,15.197226358539687,0.798425861931813,0.8292701920212119,0.0,0.0
74,7Iron,middle3,truth,37,14.740374273085525,16.30699999999998,-1.566625726914456,16.066876636945253,-1.3265023638597278,-3.764432678907598,-6.031309706417846,15.197226358539687,0.7968853370156458,0.8276293230581894,0.0,0.0
74,7Iron,last3,local,37,14.42670969745714,16.30699999999998,-1.880290302542841,16.067128776337352,-1.6404190788802122,-4.137742414234985,-6.031309706417846,15.197226358539687,0.798425861931813,0.8292701920212119,0.0,0.0
74,7Iron,last3,truth,37,14.740374273085525,16.30699999999998,-1.566625726914456,16.066876636945253,-1.3265023638597278,-3.764432678907598,-6.031309706417846,15.197226358539687,0.7968853370156458,0.8276293230581894,0.0,0.0
75,7Iron,first3,local,41,11.624596867968817,17.240999999999993,-5.616403132031175,16.95707894016893,-5.332482072200113,-9.57788932113693,-5.824510618355956,15.703421776861791,0.811860158548094,0.8620046393439912,0.0,0.0
75,7Iron,first3,truth,41,12.449666035598804,17.240999999999993,-4.791333964401188,16.957618337768967,-4.507952302170162,-7.621972653848025,-5.824510618355956,15.703421776861791,0.8201323576429658,0.8596142935990592,0.0,0.0
75,7Iron,middle3,local,37,12.861429533383994,17.240999999999993,-4.3795704666159985,16.89714674530533,-4.035717211921337,-8.967845447932794,-4.526681320641541,17.609468768704104,0.844600354032535,0.8697271642280644,0.0,0.0
75,7Iron,middle3,truth,37,13.572398004616323,17.240999999999993,-3.6686019953836695,16.897368917421186,-3.3249709128048632,-7.063614329833251,-4.526681320641541,17.609468768704104,0.8463307523545872,0.8655057410317312,0.0,0.0
75,7Iron,last3,local,26,13.443857126468373,17.240999999999993,-3.7971428735316195,16.839948203578867,-3.396091077110494,-9.599930987492478,-3.5175766711496057,19.088744224187664,0.8446339534853433,0.8765584076467785,0.0,3.8461538461538463
75,7Iron,last3,truth,26,14.055756109657725,17.240999999999993,-3.1852438903422673,16.839710597348052,-2.783954487690327,-7.794909050890409,-3.5175766711496057,19.088744224187664,0.8476823626497774,0.8718974478965655,0.0,3.8461538461538463
76,7Iron,first3,local,28,4.756169547964217,12.092000000000013,-7.335830452035796,11.910912521723679,-7.154742973759462,-5.77035813571731,-9.227266801305962,9.786003266969391,0.760040424560825,0.7724636213955495,0.0,0.0
76,7Iron,first3,truth,28,4.873776022827442,12.092000000000013,-7.218223977172571,11.91086992027167,-7.037093897444229,-5.7851715282028495,-9.227266801305962,9.786003266969391,0.764062443220358,0.7732274691122788,0.0,0.0
76,7Iron,middle3,local,25,6.150064516396424,12.092000000000013,-5.941935483603589,11.856465742527586,-5.706401226131162,-7.6455745583997565,-8.202927324950165,11.117075312578766,0.7747845886200411,0.7824081169920825,0.0,0.0
76,7Iron,middle3,truth,25,6.454358594315662,12.092000000000013,-5.637641405684351,11.855922729326478,-5.401564135010816,-7.6455745583997565,-8.202927324950165,11.117075312578766,0.7808427619241938,0.7826839884755885,0.0,0.0
76,7Iron,last3,local,28,6.314903005438868,12.092000000000013,-5.777096994561145,11.789720793092217,-5.474817787653349,-11.323230241092608,-6.527607534279986,13.281253451483629,0.8117738820875391,0.831682835645717,0.0,0.0
76,7Iron,last3,truth,28,6.560951729702089,12.092000000000013,-5.531048270297924,11.79018890375354,-5.229237174051451,-10.82323024109261,-6.527607534279986,13.281253451483629,0.8098481935177549,0.832145789699257,0.0,0.0
77,7Iron,first3,local,43,3.5742477229285177,13.927999999999987,-10.353752277071468,13.592930869829422,-10.018683146900905,-19.528759212959766,-7.581905417446664,12.403543256101273,0.8014155586323406,0.858010139410659,0.0,0.0
77,7Iron,first3,truth,43,3.6832362320442167,13.927999999999987,-10.24476376795577,13.593146173223479,-9.909909941179261,-18.741834321632385,-7.581905417446664,12.403543256101273,0.8027702315837919,0.8571898135251208,0.0,0.0
77,7Iron,middle3,local,45,5.3478409596843335,13.927999999999987,-8.580159040315653,13.547160933876714,-8.199319974192381,-20.140228443234253,-6.573776730539576,13.778117550569744,0.8011301244812262,0.8583067082490534,0.0,0.0
77,7Iron,middle3,truth,45,5.586711775539248,13.927999999999987,-8.341288224460738,13.54774519348306,-7.961033417943812,-19.83854231694818,-6.573776730539576,13.778117550569744,0.7974176455418194,0.8571898135251208,0.0,0.0
