shot,club,block,model,window,center_source,tdm_residual,n_snapshots,n_frames,launch_angle_deg,trackman_launch_deg,launch_error_deg,best_log_error,truth_log_error,truth_minus_best,median_cross_to_direct,median_double_to_direct,trackman_ball_ms,radar_ball_ms,radar_height_m,tilt_deg
77,7Iron,A,direct1,hann,track,positive,19,6,11.456063211233797,13.927999999999987,-2.4719367887661896,-0.8294746490995851,-0.8070499640810821,0.022424685018503032,nan,nan,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,two2,hann,track,positive,19,6,9.805857586939235,13.927999999999987,-4.122142413060752,-1.0243698613830283,-0.9743987517953515,0.04997110958767681,nan,0.3377133968071342,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,four3,hann,track,positive,19,6,15.003043942964709,13.927999999999987,1.0750439429647223,-1.1516249578434439,-1.1495170082170698,0.0021079496263740616,0.41196207485398717,0.2769082248809074,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
77,7Iron,A,four4,hann,track,positive,19,6,13.567236090678232,13.927999999999987,-0.3607639093217543,-1.3430312737872487,-1.3428761177062072,0.00015515608104155199,0.46732797194089193,0.18295391083699747,46.447379008824555,45.31103690428078,0.1524,10.404948650719305
78,7Iron,A,direct1,hann,track,positive,20,5,-5.0,6.121999999999985,-11.121999999999986,-1.5297944101902132,-0.8736929350644248,0.6561014751257884,nan,nan,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,two2,hann,track,positive,20,5,-0.31588715679134693,6.121999999999985,-6.437887156791332,-1.7602203008177746,-1.6560474565583818,0.10417284425939277,nan,1.96136140402425,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,four3,hann,track,positive,20,5,-3.062145499231212,6.121999999999985,-9.184145499231196,-1.7853213442419502,-1.6855553063505098,0.09976603789144045,0.9259850005844039,0.8840288445309117,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
78,7Iron,A,four4,hann,track,positive,20,5,-2.8356586967767465,6.121999999999985,-8.95765869677673,-1.8821282723307124,-1.7859528888020684,0.09617538352864408,0.95518200540025,0.9234932177889249,30.97982064784929,30.635365440809792,0.1524,10.404948650719305
79,7Iron,A,direct1,hann,track,positive,23,7,9.131974599746329,15.657999999999998,-6.526025400253669,-0.8253994193046187,-0.659314294097401,0.16608512520721763,nan,nan,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,two2,hann,track,positive,23,7,-3.3426107974731085,15.657999999999998,-19.000610797473108,-0.9567722940420512,-0.7696925853785925,0.1870797086634587,nan,1.3334153904633976,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
79,7Iron,A,four3,hann,track,positive,23,7,-3.376173853563379,15.657999999999998,-19.034173853563377,-1.0109037809962425,-0.9187007932649672,0.09220298773127522,1.13339228165891,1.444230074788428,49.75546952533371,47.30214778733609,0.1524,10.404948650719305
